Clause ID,Clause Text,Clause Type,Risk Level
1,"Our Employee PTO policy, often known as paid time off, refers to the amount of vacation time we give to our employees each year or month.",PTO Policy,Low
2,Employees are free to utilize PTO anyway they want.,PTO Policy,Low
3,This policy explains how paid time off is accrued and how employees can manage this benefit.,PTO Policy,Low
4,All employees are subject to this policy.,Scope,Low
5,"We provide full-time, permanent staff with X days of annual PTO, which they can use from the start of the year.",PTO Entitlement,Low
6,Part-time employees will get PTO on a pro-rata basis.,PTO Entitlement,Low
7,Temporary workers are paid X days per month multiplied by contract duration.,PTO Entitlement,Low
8,PTO is distinct from parental leave and sick leave.,Leave Classification,Low
9,Other types of leave such as bereavement and jury duty will be considered.,Leave Classification,Low
10,"Submit a PTO request through HRMS, no justification required.",Leave Application,Low
11,Arrange PTO two weeks in advance if more than 3 days.,Leave Scheduling,Low
12,Unused PTO cannot be carried over.,Leave Accumulation,Medium
13,"Employees may be eligible for additional PTO, capped at 25 days.",Leave Benefits,Low
14,Employees who exhaust PTO may be granted unpaid time off.,Leave Policy,Low
15,Confidentiality: Employees must not disclose sensitive info.,Confidentiality,High
16,"Financial data, customer/vendor info, tech and pricing data is confidential.",Confidentiality,High
17,Employees must keep confidential information protected.,Confidentiality,High
18,Return or destroy confidential documents when no longer needed.,Confidentiality,High
19,Share confidential info only when necessary and authorized.,Confidentiality,High
20,Don’t disclose or misuse confidential info for personal gain.,Confidentiality,High
21,Disclose confidential info only when required by law or authorized purpose.,Confidentiality Exception,Medium
22,Breach of confidentiality may lead to legal action.,Disciplinary,High
23,Interns must follow code of conduct and supervisor instructions.,Internship Terms,Low
24,Interns must maintain confidentiality of all information.,Internship Confidentiality,High
25,Internship duration may be changed upon mutual agreement.,Internship Terms,Low
26,Performance during internship will be evaluated periodically.,Internship Terms,Low
27,Successful completion of internship is subject to satisfactory performance.,Internship Terms,Low
28,Interns must sign and return appointment letter to confirm acceptance.,Internship Terms,Low
29,The Data Privacy Policy outlines practices for handling personal data in India.,Data Privacy,Medium
30,Personal Data is information that can identify a person directly or indirectly.,Data Privacy,Low
31,"Company collects personal data only for specified, explicit, and legitimate purposes.",Data Privacy,Low
32,"Data is processed in a fair, transparent, and lawful manner.",Data Processing,Low
33,"Individuals have rights to access, rectify, erase, or restrict their data.",Data Rights,Medium
34,Access to personal data is restricted to employees and authorized third parties.,Data Security,Medium
35,Company will notify affected parties and authorities in case of a data breach.,Data Breach,High
36,Personal data may be transferred only with adequate safeguards in place.,Data Transfer,Medium
37,Data is retained only as long as necessary or required by law.,Data Retention,Low
38,Policy may be updated to reflect processing activities or legal changes.,Compliance,Low
39,All employees must attend regular training on data privacy matters.,Training & Compliance,Low
40,Overtime will be compensated for hours worked beyond standard schedule.,Overtime Policy,Low
41,Overtime must comply with legal guidelines and company policy.,Overtime Policy,Medium
42,Non-exempt employees who work extra hours are entitled to overtime pay.,Overtime Compensation,Low
43,Overtime should only be used for urgent work and tracked properly.,Overtime Usage,Low
44,Company discourages excessive or abusive overtime.,Overtime Limitation,Medium
45,Daily/weekly overtime capped at 2 hours/day and 8 hours/week.,Overtime Limits,Low
46,Employees working on shift-based systems are restricted from excessive overtime.,Shift Overtime,Medium
47,Managers should not pressure employees into excessive overtime.,Overtime Ethics,Medium
48,Accurate overtime records must be maintained and approved.,Overtime Records,Low
49,Overtime compensation must be paid promptly.,Payroll Compliance,Low
50,Confidential or sensitive assets like laptops must be handled responsibly.,Asset Policy,Medium
51,"Asset inventory includes asset type, location, make, and ownership.",Asset Management,Low
52,All assets are company-owned but may be assigned to employees temporarily.,Asset Ownership,Low
53,Employees must maintain and ensure security of issued company devices.,Asset Handling,Medium
54,Issued devices are covered under the company’s data protection and security policy.,Asset & Data Security,Medium
55,Data created on company systems remains company property.,Data Ownership,Medium
56,IT department monitors network traffic and equipment usage.,Monitoring Policy,High
57,All company assets must be returned upon termination.,Exit Policy,Low
58,"Assets include credit cards, access cards, devices, and software.",Exit Compliance,Low
59,Employees must ensure all relevant data is transferred to the company before exit.,Knowledge Transfer,Low
60,Any deviations from asset policy must be approved by management.,Policy Exceptions,Low
61,Violations of asset policy are subject to disciplinary action.,Enforcement,Medium
62,"Code of Ethics defines principles like integrity, honesty, and justice.",Code of Ethics,Low
63,Respect for others is mandatory in all interactions.,Workplace Behavior,Low
64,Harassment or victimization will result in termination.,Anti-Harassment,High
65,"Dishonesty, fraud, and cheating are grounds for termination.",Ethics Violation,High
66,Stealing office supplies leads to disciplinary action.,Minor Theft,Medium
67,"Major fraud, data theft, or embezzlement leads to legal consequences.",Major Misconduct,High
68,Conflicts of interest can result in termination if not disclosed.,Conflict of Interest,High
69,Employees must act justly and objectively in decisions.,Fair Practices,Low
70,Discrimination based on protected traits is strictly prohibited.,Anti-Discrimination,High
71,Authority must be exercised without favoritism.,Leadership Conduct,Medium
72,Employees must comply with legal obligations and company policies.,Lawfulness,High
73,Confidential data must not be exposed or mishandled.,Confidentiality,High
